qa_id,qa_type,question,answer,model,effective,update_by,update_time,model_list,model_num,model_id,cat_name,error_list
ICWIKI202307243227,APP及联网,APP清扫时间为0,您好，后续会尽快推送固件版本更新进行改善，请您耐心等待；当前可以尝试将机器保持直立锁定状态，拿下充电桩后，长按电源键关机；后续开机并联网成功，后续使用时长超过1min会生成清扫记录。,"A10, A10Plus",2023-07-24 17:55:31 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243226,APP及联网,APP清扫时间对不上,您好，可能是网络原因导致数据上传卡顿，会导致清扫时间有差异，另外洗地机清洁完成放回基座充电时才会计算并生成清洁记录，请放回桩上后在打开APP查看。,"A10, A10Plus",2023-07-24 17:55:29 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243230,APP及联网,APP预约烘干状态下进行OTA升级，升级完成后预约的烘干没有了,您好，为确保OTA升级时软件不受干扰，会把预约自清洁和预约烘干任务取消，避免在升级时机器运行造成升级失败，这是正常现象。,"A10, A10Plus",2023-07-24 17:55:33 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243224,APP及联网,app控制机器烘干或自清洁无语音播报,您好，请检查是否在APP中设置了勿扰模式,"A10, A10Plus",2023-07-24 17:55:24 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246301,产品参数,不同档位的风机功率？,您好，自动模式风机电功率80W左右，max功率120W左右，吸水模式功率100W，轻拖模式功率50W左右。,"A10, A10Plus",2023-07-24 18:28:43 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243552,常见问题,充电时电量很低的时候按开机键没有启动烘干？,您好，可以升级固件后再试。临时解决也可以将机器拿下来再放回，再开启烘干。,"A10, A10Plus",2023-07-24 18:02:20 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243555,常见问题,充电时适配器发烫,您好，烘干+充电功率较大，电源适配器有一定的发热属于正常现象，我们的适配器通过了严格的安全测试，可以保证安全使用。,"A10, A10Plus",2023-07-24 18:02:26 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246293,产品参数,充电时长？,您好，一次充满电需要约3.5~4h。,"A10, A10Plus",2023-07-24 18:28:27 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246537,产品参数,包含哪些部件？标配是什么,您好，包装箱中包括主机、手柄、充电座（分主体和托盘两部分）、电源适配器、滤网（主机内已有一个滤网，总共两个）、一套滚刷（主机内已有一套滚刷，总共两套）、清洁毛刷、说明书、开箱卡片、延保卡、清洁液200ml。,"A10, A10Plus",2023-07-24 18:36:37 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243638,常见问题,启动时风机不工作,您好，可能是风机马达过热，请放置一段时间（20分钟或半小时），等待温度恢复正常后再试，可升级固件后改善，如仍有问题请联系客服,"A10, A10Plus",2023-07-24 18:03:40 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246645,产品参数,吸力大小？,单风机最大吸力可达17000Pa，吸入功率57AW。,"A10, A10Plus",2023-07-24 18:40:12 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243853,故障问题,地面留下很明显的脏污痕迹,"1，引导客户检查一下滚刷是否脏污，需要人工协助清理下，有自清洁可增加自清洁次数
2，使用环境是否存在开荒，机器暂时不支持开荒，建议用普通拖布进行清洁后在使用清洁
4，如解决，则继续使用即可；
未解决，引导客户提供报错时照片或视频，进一步确认","A10, A10Plus",2023-07-24 18:08:17 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202312251283,日常使用,如何使用APP视频,https://files.roborock.com/uploadImages/guide/20220408/videos/A10%E7%B3%BB%E5%88%97App%E7%9A%84%E4%BD%BF%E7%94%A8.mp4,"A10, A10Plus",2023-12-25 11:27:43 已生效,衡晶晶,2023-12-25 11:27:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202312251281,日常使用,如何使用视频,https://files.roborock.com/uploadImages/guide/20220408/videos/%E5%A6%82%E4%BD%95%E4%BD%BF%E7%94%A8A10%E7%B3%BB%E5%88%97.mp4,"A10, A10Plus",2023-12-25 11:27:39 已生效,衡晶晶,2023-12-25 11:27:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307244090,日常使用,定时烘干没有启动？,您好，A10会自动判断使用状态，如果上次烘干后一直没有使用，就不会启动烘干，以避免重复烘干。另一种可能是家里网络连接出现了问题，也可能导致定时烘干不能正常启动。,"A10, A10Plus",2023-07-24 18:15:07 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243722,常见问题,手柄拆装按键是黄色,您好，该按键采用硅胶材质，按压时手感舒适，在某些特定的环境条件下，硅胶可能会发黄，这个属于正常现象，不影响正常使用。,"A10, A10Plus",2023-07-24 18:05:01 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246433,日常使用,按自清洁键提示电量不足，需要等待多久？,您好，等待电量上升到约15%即可开始自清洁，根据使用情况的不同，充电到15%会有一定差异。,"A10, A10Plus",2023-08-22 11:27:40 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243538,常见问题,按自清洁，报语音“电量不足”，但还是启动了自清洁,您好，可能洗地机处理器负荷较高，出现语音误报，不影响正常使用，可升级固件后改善，临时也可重启后进行使用。,"A10, A10Plus",2023-07-24 18:02:06 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202312251282,日常使用,日常维护视频,https://files.roborock.com/uploadImages/guide/20220408/videos/%E6%97%A5%E5%B8%B8%E7%BB%B4%E6%8A%A4A10%E7%B3%BB%E5%88%97.mp4,"A10, A10Plus",2023-12-25 11:27:50 已生效,衡晶晶,2023-12-25 11:27:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307244443,日常使用,有几个档位？使用时如何选择档位？,您好，A10有四个档位，大多数情况建议使用默认的自动档即可，如果清理特别脏污的区域可以暂时开启强力档，但强力档续航时间会相应缩短。如果地面垃圾和颗粒物较少，仅有少量灰尘和污渍，可以使用轻拖模式，轻拖模式噪音更低，续航更久。需要清理地面积水，可以使用吸水模式。,"A10, A10Plus",2023-07-24 18:21:48 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243613,常见问题,机器放着不动，突然报一声关机,您好，A10系列放置5min不动会自动进入休眠模式播报语音关机，1h后会自动关机会再次播报语音。可升级固件消除该声音。,"A10, A10Plus",2023-07-24 18:03:24 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246547,产品参数,水箱容量是多少？,清水箱900ml，污水箱770ml,"A10, A10Plus",2023-07-24 18:36:55 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243534,常见问题,洗地机MAX模式运行时自动切换到自动模式,您好，可以升级固件后再试。,"A10, A10Plus",2023-08-21 18:12:44 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243966,故障问题,洗地机机身按键失灵,"1，引导客户查看手柄是否安装到位，可重新安装下，听到咔哒声后，在启动使用观察
2，可长按10秒开关机键强制关机稍后再启动,进行使用观察
3，升级固件版本后在使用观察
4，无效返厂
*A10系列长按10S强制关机U10长按5s强制关机","A10, A10Plus",2023-07-24 18:11:30 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243965,故障问题,洗地机滚刷是干净的，但是还是报缠绕异物,"1引导客户确认是否在地毯上使用，地毯用可建议客户建议将机身放低，水平推拉，不要用力下压刷头，用力下压容易导致滚刷无法正常旋转，可尝试是否可改善
2，当刷头与家具发生碰撞，导致提示或停机，重启使用即可，可观察使用情况
3，当新滚刷使用时需要磨合，多使用几次可自动解除，建议客户后期使用观察
4，如解决，则继续使用即可；
未解决，引导客户提供报错时照片或视频，进一步确认","A10, A10Plus",2023-07-24 18:11:28 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243969,故障问题,洗地机自清洁时，有泡沫溢出来了,"1，引导客户使用石头清洁液
*A10清水箱仅需投放5ml石头专用清洁液（约四分之一瓶盖）
*其他型号可直接放清洁液盒使用
2，启动自清洁多转动进行消除泡沫","A10, A10Plus",2023-07-24 18:11:35 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243650,常见问题,清水桶缺水停止运行后，灯带不变红，缺水指示灯也不闪,您好，可能洗地机处理器负荷较高，不影响正常使用，可升级固件后改善，临时也可重启后进行使用。,"A10, A10Plus",2023-07-24 18:03:45 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307244202,日常使用,清水箱为什么倒不空？,您好，清水箱内有缓释银离子，无需清空也不会滋生细菌，留一定水在水箱内持续浸泡，还可以提升银离子抑菌效果。如果确实需要倒空，可以反复上下摇晃水箱。,"A10, A10Plus",2023-07-24 18:17:09 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307244203,日常使用,清水箱为什么加不满？,您好，清水箱正常工作需要留一定空间，加水到MAX线即可达到900ml容量。,"A10, A10Plus",2023-07-24 18:17:11 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243878,故障问题,滚刷/污水桶异味,"1引导客户每次使用后建议清理污水桶，滚刷清理后晾干或烘干，进行观察
2，查看滤网是否存在发霉或者需要清洁状态，做好清理，在使用观察
*所在区域或环境比价潮湿建议烘干
*清洁过程可搭配石头清洁液进行深度清理","A10, A10Plus",2023-08-23 11:35:30 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246504,日常使用,烘干功率有多大？烘干温度有多少？,您好，快速烘干和静音烘干烘干功率都在16W左右，为保证滚刷寿命和使用安全，烘干温度约比环境温度高5度，最高点温度不会超过45摄氏度。,"A10, A10Plus",2023-07-24 18:35:34 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246388,产品参数,烘干时噪音大吗？,您好，静音烘干噪音为约46dB；快速烘干噪音较大，约52dB，建议不在房间时使用。,"A10, A10Plus",2023-07-24 18:31:40 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246491,常见问题,烘干时声音太大，太吵怎么办？,您好，A10系列支持静音烘干和快速烘干两种模式，如果觉得声音大，可以选择使用静音烘干，还可以设置定时烘干，选择家中没有人的时候定时开启烘干。,"A10, A10Plus",2023-07-24 18:35:09 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307244101,日常使用,烘干时感觉吹出来的是冷风,您好，过高的温度会导致过度烘干，破坏滚刷刷毛的柔韧性，为避免高温过烘对滚刷刷毛造成损害，A10采用的烘干温度约比环境温度高5度，最高点温度不会超过45摄氏度，通过柔烘热风配合滚刷间歇性旋转实现烘干，柔烘热风经过潮湿的滚刷后温度急剧下降，所以您感觉吹出来的是冷风，这是正常现象。,"A10, A10Plus",2023-07-24 18:15:16 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243605,常见问题,烘干没有效果，启动烘干后听不到风扇工作的声音？,"您好，可能是之前升级过程中把机器从充电座上拿下来，导致充电座升级失败，请把洗地机拿下来，锁定状态长按2s开关键关机，再放入充电座等待一段时间，即可重新升级充电座。
也可能是充电座触点脏污，可以用棉签擦拭主机底部的触点。","A10, A10Plus",2023-07-24 18:03:17 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243243,APP及联网,烘干的时候APP充电图标不显示充电,您好，可升级固件解决该问题,"A10, A10Plus",2023-07-24 17:55:54 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246487,常见问题,烘干费电吗？耗电量多少,您好，A10系列烘干耗电很低，在默认烘干模式下，每次耗电仅约0.05度。即使每天烘干一次，一个月仅耗电1.5度，按照0.5元一度电计算，电费约0.75元。,"A10, A10Plus",2023-07-24 18:35:01 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243586,常见问题,短按自清洁按钮进入深度自清洁,您好，可以升级固件后再试。临时解决也可以将深度自清洁停止，再短按自清洁按键,"A10, A10Plus",2023-07-24 18:03:09 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243984,故障问题,自清洁时基站溢水，污水未能回收,"1，引导客户查看管道以及吸口位置是否堵塞，无法正常回收，清理后使用观察
*检查时需提前取下清水桶及污水桶，避免水漏出
*清洁液盒有排气孔，也需提前取下（根据型号添加此提醒）
2，查看下滤网是否存在堵塞或者浸湿，需及时清理
*滤网需水冲洗，晾干后安装使用
如解决，则继续使用即可；
如未解决，引导客户提供报错时视频，进一步确认","A10, A10Plus",2023-07-24 18:12:05 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307244483,日常使用,自清洁需要用多少水？,您好，根据自清洁模式的不同，自清洁用水量会有一定调整，标准自清洁约130ml左右，深度自清洁约在190ml左右，自清洁前，如果发现污水箱快满了或者清水箱水量较少，请先倒水和加水，以保证自清洁顺畅进行。,"A10, A10Plus",2023-07-24 18:22:15 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243791,常见问题,装满水合上清水箱盖子的时候从出水口滋水出来,您好，使用过程中，当清水箱接满水情况下，用手按压软胶开口，可能会出现因加压现象而从水箱侧面小口出水，属于正常现象，请您放心使用,"A10, A10Plus",2023-07-24 18:06:29 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243268,APP及联网,设置页静音烘干时长有时候会显示1小时,您好，可升级固件解决该问题,"A10, A10Plus",2023-07-24 17:56:28 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243782,常见问题,语音播报卡顿？,您好，频繁操作时洗地机处理器负荷较高，语音播放可能有一定卡顿，属于正常现象，不影响实际功能。可升级固件后改善。,"A10, A10Plus",2023-07-24 18:06:19 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243784,常见问题,运行中按开关键，语音提示关机，但实际并没有关机？,您好，出厂版本的语音可能不够精确，请连接手机APP升级更新语音。（此处的“关机”意思是关闭风机，刷头马达等，停止清洁）,"A10, A10Plus",2023-07-24 18:06:23 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246404,产品参数,需要多长时间才能彻底烘干？,您好，A10有静音烘干和快速烘干两个模式，静音烘干默认3小时，可以在APP中调整为2-6小时。在干燥环境和潮湿环境中需要的烘干时间会有一定差异；快速烘干时间为1小时，但是噪音比静音烘干大。,"A10, A10Plus",2023-07-24 18:32:11 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307244162,日常使用,静音烘干和快速烘干有什么区别？,您好，快速烘干热风风量较大，噪音比静音烘干大，烘干时滚刷每10分钟旋转一次；静音烘干风量较小，较安静，烘干时滚刷每30分钟旋转一次。,"A10, A10Plus",2023-07-24 18:16:23 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307243286,APP及联网,预约自清洁功能失效,您好，自清洁需要一定电量才会启动，启动自清洁时洗地机电量需要大于15%,"A10, A10Plus",2023-07-24 17:56:51 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus",2,"ICMU003,ICMU004","洗地机,洗地机",
ICWIKI202307246719,常见问题,地面水渍不均,您好，A10系列通过滚刷、风机与刮条的配合，可以回收绝大部分的水，减少地面水渍；如果部分地面比较光滑亲水性不均匀，可能会出现上述情况，但即使有略微水渍也会很快速干,"A10, A10Plus, A10Ultra, A10UltraE",2023-07-24 18:42:41 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus,a10ultra,a10ultrae",4,"ICMU003,ICMU004,ICMU005,ICMU006","洗地机,洗地机,洗地机,洗地机",
ICWIKI202307246616,常见问题,拖完后地面有水痕/水渍,您好，这款洗地机是通过滚刷、风机与刮条的配合，可以回收绝大部分的水，减少水渍，但是会受地面材质影响，不能保证在任何地面上都无水痕。前推相比后拉水痕更少，清洁时可以注意多采用前推的方式，还可以在APP中调低自动模式的出水量，也可改善地面水痕的情况。,"A10, A10Plus, A10Ultra, A10UltraE",2023-07-24 18:39:13 已生效,王鹏程,2023-09-07 11:38:00.000000,"a10,a10plus,a10ultra,a10ultrae",4,"ICMU003,ICMU004,ICMU005,ICMU006","洗地机,洗地机,洗地机,洗地机",
ICWIKI202308090028,故障问题,洗地机推拉清洁时前滚刷自己旋出？/拖地滚刷脱落,"您好，如果推拉速度很快，超过了滚刷旋转速度，有可能导致滚刷被动旋出，属于正常现象，建议用适中的速度拖地，可以避免这个现象并保证清洁效果。
【拓展知识】
拖动机器时前滚刷自己旋出？
您好，拖动机器时滚刷被动旋转，可能会旋出，建议需要拖动机器时，将刷头锁定，再后拉手柄，将刷头翘起进行拖动，这样可以避免滚刷旋出，而且更省力。
 
 ","A10, A10Plus, A10Ultra, A10UltraE",2023-08-09 18:23:42 已生效,李静,2023-09-07 11:38:00.000000,"a10,a10plus,a10ultra,a10ultrae",4,"ICMU003,ICMU004,ICMU005,ICMU006","洗地机,洗地机,洗地机,洗地机",
ICWIKI202307246709,常见问题,滚刷挡板卡在中间位置没法动,您好，请检查滚刷升降挡板处是否卡住异物,"A10, A10Plus, A10UltraE",2023-07-24 18:42:23 已生效,王鹏程,2023-09-07 11:42:00.000000,"a10,a10plus,a10ultrae",3,"ICMU003,ICMU004,ICMU006","洗地机,洗地机,洗地机",
ICWIKI202307244408,日常使用,吸水模式1分钟自动回到自动模式？,您好，吸水模式是有超时自动退出的功能。因为吸水模式是用来吸取地面积水的，不适合长时间进行日常清洁。为防止忘记退出造成长时间工作在吸水模式，导致清洁效果下降等问题，我们设置了自动退出功能，如果需要继续使用吸水模式，可以重新开启。,"A10, A10Plus, U10",2023-07-24 18:21:06 已生效,王鹏程,2023-09-07 11:42:00.000000,"a10,a10plus,u10",3,"ICMU003,ICMU004,ICMU007","洗地机,洗地机,洗地机",
ICWIKI202312251263,日常使用,没有助力,"您好，A10 Plus双刷对向旋转，双向助力。前刷助力向前，后刷助力向后，相互抵消，前推后拉都比较省力，但是放置不动时不会有很强的前拉力。
如果感觉开始时前拉力强后来减弱，可能是双滚刷磨合一段时间后前后滚刷的助力更平均了。如果前进后退都没有明显阻力，那就属于正常现象。

【拓展知识】
Q1：用户描述一开始使用正常后面感觉变小了？
A：您好，洗地机新刷刷毛蓬松度会有微弱的差异，所以刚使用时助力可能会有一些差别，使用一段时间后就会趋于一致。
Q2：如何验证前推助力及后拉助力？
如表示前推无助力：可引导客户取下后滚刷，仅安装前滚刷情况，开始工作观察是否有前推动力。
如表示后推无助力: 则引导客户仅取下前滚刷，仅安装后滚刷情况，开始工作观察有无后拉动力","A10, A10Plus, U10",2023-12-25 10:32:56 已生效,衡晶晶,2023-12-25 10:32:00.000000,"a10,a10plus,u10",3,"ICMU003,ICMU004,ICMU007","洗地机,洗地机,洗地机",
ICWIKI202307243365,故障问题,洗地机无法充电或充不上电,"1.需确认电源线是否安插到位；
2.将洗地机重新提起再放入充电座看下；
3.观察充电位置是否脏污或卡异物；
4.以上无法解决，引导售后","A10, A10Plus, U10, A10Ultra, A10UltraE",2023-08-24 10:06:30 已生效,王鹏程,2023-09-07 11:42:00.000000,"a10,a10plus,u10,a10ultra,a10ultrae",5,"ICMU003,ICMU004,ICMU007,ICMU005,ICMU006","洗地机,洗地机,洗地机,洗地机,洗地机",
ICWIKI202307246690,常见问题,工作时噪音突然变大？,您好，污水箱快满的时候，声音会变大，几秒后机器会提示污水桶满，是正常现象，倾倒污水桶即可。,"A10, A10Plus, U10, A10UltraE",2023-07-24 18:41:44 已生效,王鹏程,2023-09-07 11:42:00.000000,"a10,a10plus,u10,a10ultrae",4,"ICMU003,ICMU004,ICMU007,ICMU006","洗地机,洗地机,洗地机,洗地机",
