qa_id,question,gt_qa_id,gt_num,question_kg,answer_kg,model,qa_type,model_list,cat_name,sim_q_gt
ICASK202308140991,T8 机器人漏扫,ICWIKI202307243914,1,扫地机漏扫,"1，引导客户回忆使用前清扫区域存在未提前打开门或者中途进行了关闭，可以尝试开门后进行重新清洁观察
2，使用柔软干布擦拭一下黑色过门石及悬崖传感器及沿墙传感器后使用观察
3，APP显示为障碍物困住，可清除环境中障碍物，下次清扫可改善，后期注意观察使用
4，可以对落地镜进行遮挡，高度为15cm，进行使用观察
5，APP可以进行分区，进行观察使用","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.68
ICASK202308140981,G20联网失败,ICWIKI202307246395,1,联网失败或连接超时或无法连接无法联网,"扫地机配网第一步失败：
1.引导用户确认好手机蓝牙正常开启状态
2.确认当前机器人处在配网模式，机器人配网指示灯处于蓝灯慢闪状态
3.确认当前位置权限是否开启，连接时如有app位置授权弹窗时需要点击允许

扫地机配网第二步失败：
1.询问用户手机系统情况，以及是否打开局域网权限，如果已经打开，建议尝试结束关闭APP尝试几次。如果没打开，建议用户打开再尝试（配网必须要改权限）。
2.苹果手机需额外查看手机本地网络权限设置为允许后进行尝试，操作路径：进入手机设置=》直接下滑找到Robo Rock  App点击进入=》打开本地网络开关
【小概率出现当前手机所连接家庭的wifi错误在第二步失败，可引导检查手机连接的是不是家里的wifi，连接的wifi是否正确，以及密码是否正确】

扫地机联网失败/扫地机联网第三步报错失败
请确认以下操作
【排查方式中部分步骤包含路由器设置相关内容，此类步骤需要提前问下用户是否了解路由器设置，如用户了解可继续进行排查，如果用户不了解引导用户联系一下了解路由器的家人/朋友帮忙排查一下，优先排查其他步骤】
1. WIFI的名称及密码有无特殊字符，最好为字母数字组合。
2. WIFI连接步骤是否正确，建议用户录制操作视频，通过查看视频是否有错误操作（WIFI热点列表中保存了扫地机热点；密码输入是否正确，区分大小写，有无空格）
3. 不支持无密码wifi网络，不支持5G网络
4.个别路由器需要配置成包含11n/ax mixed模式（混合模式）
5. 如路由器加密方式是wep，此加密方式安全级别较低，不支持； 修改为wpa/wpa 2 混合加密即可
6.使用另一台手机移动网络建立WIFI热点，尝试WIFI连接（建议更换几个不同的手机发送和连接热点进行尝试）
温馨提示：
1. wifi6路由器有11n/ax mixed模式（混合模式），推荐您打开此选项正常再尝试连接使用观察；
2. 同时建议检查加密方式，如为WPA3超强加密方式（WPA3为新一代加密技术,但选择该选项后部分设备可能会存在兼容性问题而无法接入。），则需要修改为WPA2或WPA2/WPA3","A10Ultra, A10, A10Plus, A10UltraE, P5, T7, T6, S5, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10上下水版, P10, G20上下水版, G20, G10S系列, P10Pro",APP及联网,"a10ultra,a10,a10plus,a10ultrae,p5,t7,t6,s5,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10上下水版,p10,g20上下水版,g20,g10s系列,p10pro","洗地机,洗地机,洗地机,洗地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.66
ICASK202308130957,G10S机器无法定位,ICWIKI202307244158,1,经常定位失败或无法定位，重新建图，是为什么？,"
1.请检查充电桩摆放是否符合要求，确保桩前方有0.7米以上开阔空间。桩附近空间过于狭窄有可能导致定位失败。
2.请尽量让设备从充电桩出发开始清扫。此外如果充电桩附近环境变化后，有可能导致机器人出桩后定位失败，请尽量确保充电桩位置不要变动。","G10S, G10SPro, G10SPure, G20, G10SPure上下水版, G20上下水版, P10, P10上下水版, P10Pro",日常使用,"g10s,g10spro,g10spure,g20,g10spure上下水版,g20上下水版,p10,p10上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.57
ICASK202308120956,扫地机在基座里冲不上电,ICWIKI202307243846,1,扫地机器人错误13充电异常/无法充电/充不上电,"需确认充电桩电源指示灯是否亮起
1，引导客户使用橡皮擦或柔软干布进行擦拭弹片和触片区域,，在使用观察
2，给充电桩断电2分钟，两分钟后在通电使用观察，
（注*需给充电桩断电，不是扫地机）
3，如未解决，引导客户提供报错时视频，进一步确认，
以上均未解决引导提供产品信息，售后返厂检测","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.7
ICASK202308110941,扫地机充不上电,ICWIKI202307243846,1,扫地机器人错误13充电异常/无法充电/充不上电,"需确认充电桩电源指示灯是否亮起
1，引导客户使用橡皮擦或柔软干布进行擦拭弹片和触片区域,，在使用观察
2，给充电桩断电2分钟，两分钟后在通电使用观察，
（注*需给充电桩断电，不是扫地机）
3，如未解决，引导客户提供报错时视频，进一步确认，
以上均未解决引导提供产品信息，售后返厂检测","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.8
ICASK202308100925,T7拖布不出水,ICWIKI202307243916,1,扫地机拖地出水少不出水,"1，引导客户查看拖布是否安装到位并正常工作，拖地时完全打湿拖布，安装好后使用观察
2，取出清水箱和污水箱后查看拖布是否平整覆盖在拖板上，铺平后使用观察
3，水箱是否添加除石头之外的清洁剂，比如滴露、酒精之类的导致水管脱落，需清除后在使用观察
4，查看水箱是否各个卡扣安装到位，在使用观察
5，水箱加满水，在APP或者按键调整为大水量，拖地约45分钟时，观察水箱水的剩余量（大约一半为正常）
*不同环境会有所不同，需观察使用消耗
6，在机器的进水口的黑色胶圈部分涂抹护手霜（主要是凡士林成分润滑接头），使用观察（适用于：可拆卸水箱型号）
7，仅安装拖板不安装拖布，持续拖地一段时间看地面是否会出现水迹，是持续缓慢出水的，但表现在地面，可能是汇聚成滴状后滴下，进行观察
8，启动拖地模式，正常运行为拖地模组放下为震动拖地，收起状态为不震动也不出水的，使用观察是否正常
9，如解决，则继续使用即可；
未解决，引导客户提供报错时照片或视频，进一步确认；

可以取下拖布支架机器型号：
T7S/T7SPlus/T8PLus/G10SPro
以下机器拖布支架不可拆卸
G10S系列，G10系列","G10S, P10, G20, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SPure, P10Pro",故障问题,"g10s,p10,g20,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10spure,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.7
ICASK202308100920,P10 基站异常,ICWIKI202308090025,1,基站异常基座异常 错误原因：150 电磁阀异常，应如何处理？错误150/151/152/153/158/159,"您好，关于您描述当前遇到情况可以尝试将基座断电，拔掉电源线2min后再通电，继续清洗拖布使用观察。【温馨提示】如首次安装使用，推荐联网后更新扫地机固件版本再使用观察。
如上述方法解决，继续使用观察。
如未解决，需售后返厂检测进一步确认，CRM建单备注：基座异常150-电磁阀异常。
适配机型：G20系列
【拓展知识】
1.【基座异常】错误150/152/153/158,基座断电2min，重新通电观察，如未解决需售后返厂检测。
2. 【基座异常】错误151，重点引导更新固件版本后，重新启动烘干观察，正常可改善解决。
3.【基座异常】错误159，一方面基座断电2min，同时检查上下水和基座连接处Type-c线，安装到位后再通电观察。",G20,故障问题,g20,扫地机,0.71
ICASK202308100919,P10 基座异常,ICWIKI202308090025,1,基站异常基座异常 错误原因：150 电磁阀异常，应如何处理？错误150/151/152/153/158/159,"您好，关于您描述当前遇到情况可以尝试将基座断电，拔掉电源线2min后再通电，继续清洗拖布使用观察。【温馨提示】如首次安装使用，推荐联网后更新扫地机固件版本再使用观察。
如上述方法解决，继续使用观察。
如未解决，需售后返厂检测进一步确认，CRM建单备注：基座异常150-电磁阀异常。
适配机型：G20系列
【拓展知识】
1.【基座异常】错误150/152/153/158,基座断电2min，重新通电观察，如未解决需售后返厂检测。
2. 【基座异常】错误151，重点引导更新固件版本后，重新启动烘干观察，正常可改善解决。
3.【基座异常】错误159，一方面基座断电2min，同时检查上下水和基座连接处Type-c线，安装到位后再通电观察。",G20,故障问题,g20,扫地机,0.62
ICASK202308100917,G10S不集尘,ICWIKI202307244373,1,为什么扫地机清扫结束没有自动集尘？,"您好，若扫地机不能自动集尘，请按照以下操作排查：
（1）扫地机在勿扰模式期间不会主动集尘，请您检查一下「设置页」-「更多功能设置」页面是否开启了勿扰模式，您可以在「生效范围」修改勿扰模式期间扫地机设置。
（2）集尘桶和尘袋是否安装到位，尘袋是否达到容量上限","G10S, G10SPro, G10SPure, G20, G10SPure上下水版, G20上下水版, P10, P10上下水版, P10Pro",日常使用,"g10s,g10spro,g10spure,g20,g10spure上下水版,g20上下水版,p10,p10上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.5
ICASK202308090901,扫地机无法充电,ICWIKI202307243846,1,扫地机器人错误13充电异常/无法充电/充不上电,"需确认充电桩电源指示灯是否亮起
1，引导客户使用橡皮擦或柔软干布进行擦拭弹片和触片区域,，在使用观察
2，给充电桩断电2分钟，两分钟后在通电使用观察，
（注*需给充电桩断电，不是扫地机）
3，如未解决，引导客户提供报错时视频，进一步确认，
以上均未解决引导提供产品信息，售后返厂检测","P5, S5, T6, T7, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10, G20, P10上下水版, G20上下水版, P10Pro",故障问题,"p5,s5,t6,t7,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10,g20,p10上下水版,g20上下水版,p10pro","扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.79
ICASK202308090896,G10 联网失败,ICWIKI202307246395,1,联网失败或连接超时或无法连接无法联网,"扫地机配网第一步失败：
1.引导用户确认好手机蓝牙正常开启状态
2.确认当前机器人处在配网模式，机器人配网指示灯处于蓝灯慢闪状态
3.确认当前位置权限是否开启，连接时如有app位置授权弹窗时需要点击允许

扫地机配网第二步失败：
1.询问用户手机系统情况，以及是否打开局域网权限，如果已经打开，建议尝试结束关闭APP尝试几次。如果没打开，建议用户打开再尝试（配网必须要改权限）。
2.苹果手机需额外查看手机本地网络权限设置为允许后进行尝试，操作路径：进入手机设置=》直接下滑找到Robo Rock  App点击进入=》打开本地网络开关
【小概率出现当前手机所连接家庭的wifi错误在第二步失败，可引导检查手机连接的是不是家里的wifi，连接的wifi是否正确，以及密码是否正确】

扫地机联网失败/扫地机联网第三步报错失败
请确认以下操作
【排查方式中部分步骤包含路由器设置相关内容，此类步骤需要提前问下用户是否了解路由器设置，如用户了解可继续进行排查，如果用户不了解引导用户联系一下了解路由器的家人/朋友帮忙排查一下，优先排查其他步骤】
1. WIFI的名称及密码有无特殊字符，最好为字母数字组合。
2. WIFI连接步骤是否正确，建议用户录制操作视频，通过查看视频是否有错误操作（WIFI热点列表中保存了扫地机热点；密码输入是否正确，区分大小写，有无空格）
3. 不支持无密码wifi网络，不支持5G网络
4.个别路由器需要配置成包含11n/ax mixed模式（混合模式）
5. 如路由器加密方式是wep，此加密方式安全级别较低，不支持； 修改为wpa/wpa 2 混合加密即可
6.使用另一台手机移动网络建立WIFI热点，尝试WIFI连接（建议更换几个不同的手机发送和连接热点进行尝试）
温馨提示：
1. wifi6路由器有11n/ax mixed模式（混合模式），推荐您打开此选项正常再尝试连接使用观察；
2. 同时建议检查加密方式，如为WPA3超强加密方式（WPA3为新一代加密技术,但选择该选项后部分设备可能会存在兼容性问题而无法接入。），则需要修改为WPA2或WPA2/WPA3","A10Ultra, A10, A10Plus, A10UltraE, P5, T7, T6, S5, T7Pro, T7S, T7SPlus, G10, G10Plus, T8, T8Plus, G10SPro, G10SAuto, G10S, G10SPure, P10上下水版, P10, G20上下水版, G20, G10S系列, P10Pro",APP及联网,"a10ultra,a10,a10plus,a10ultrae,p5,t7,t6,s5,t7pro,t7s,t7splus,g10,g10plus,t8,t8plus,g10spro,g10sauto,g10s,g10spure,p10上下水版,p10,g20上下水版,g20,g10s系列,p10pro","洗地机,洗地机,洗地机,洗地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机,扫地机",0.68
